year,month,anomaly,total_uncertainty,uncorrelated_uncertainty,correlated_uncertainty,bias_uncertainty,coverage_uncertainty,lower_bound_95pct_bias_uncertainty_range,upper_bound_95pct_bias_uncertainty_range
1855,5,-0.53824,0.13585,0.03501,0.10269,0.03597,0.07342,-0.61150,-0.46800
1855,6,-0.53235,0.13028,0.03318,0.08906,0.03759,0.08080,-0.61050,-0.45950
1855,7,-0.46035,0.12281,0.03046,0.09052,0.03567,0.06846,-0.53600,-0.39450
1855,8,-0.22754,0.12711,0.02722,0.09106,0.03537,0.07664,-0.30200,-0.16250
1855,9,-0.31052,0.12657,0.02915,0.09145,0.02992,0.07690,-0.37450,-0.25400
1855,10,-0.42491,0.12374,0.02701,0.08659,0.02753,0.07954,-0.48350,-0.37300
1855,11,-0.35238,0.12096,0.02948,0.09319,0.02851,0.06531,-0.41250,-0.29950
1855,12,-0.22911,0.13099,0.02939,0.08896,0.02780,0.08722,-0.28800,-0.17750
1856,1,-0.11759,0.12228,0.02632,0.07988,0.02955,0.08370,-0.17450,-0.06000
1856,2,-0.28115,0.11869,0.02781,0.08346,0.03296,0.07254,-0.34350,-0.21650
1856,3,-0.23646,0.11725,0.02978,0.09038,0.03379,0.05958,-0.30000,-0.16950
1856,4,-0.51736,0.11848,0.02810,0.09319,0.03446,0.05811,-0.58650,-0.44900
1856,5,-0.24333,0.12663,0.02791,0.08849,0.03674,0.07795,-0.31800,-0.17050
1856,6,-0.39162,0.13099,0.03032,0.09575,0.03571,0.07612,-0.46800,-0.32350
1856,7,-0.26790,0.12756,0.02745,0.09657,0.03499,0.07049,-0.34300,-0.20350
1856,8,-0.20009,0.11743,0.02671,0.08890,0.03226,0.06428,-0.26900,-0.13800
1856,9,-0.38807,0.11637,0.02697,0.08063,0.03018,0.07350,-0.45200,-0.32850
1856,10,-0.50564,0.11043,0.02769,0.08271,0.02785,0.06173,-0.56350,-0.45450
1856,11,-0.33359,0.11976,0.03031,0.09533,0.02635,0.06036,-0.38850,-0.28500
1856,12,-0.48714,0.11885,0.02772,0.08270,0.02643,0.07628,-0.54050,-0.43700
1857,1,-0.30110,0.12090,0.02822,0.08133,0.02703,0.08048,-0.35400,-0.24800
1857,2,-0.50432,0.11822,0.02771,0.09115,0.02889,0.06375,-0.55900,-0.44700
1857,3,-0.70335,0.12187,0.02774,0.09276,0.02998,0.06768,-0.76200,-0.64350
1857,4,-0.54935,0.11804,0.02597,0.08647,0.03435,0.06785,-0.61800,-0.48050
1857,5,-0.51470,0.11240,0.02665,0.08245,0.03454,0.06271,-0.58700,-0.44700
1857,6,-0.52496,0.11437,0.02681,0.08500,0.03391,0.06314,-0.59650,-0.45950
1857,7,-0.65900,0.11224,0.02689,0.08503,0.03166,0.06034,-0.72700,-0.59700
1857,8,-0.50398,0.12163,0.02759,0.08837,0.02981,0.07304,-0.56750,-0.44350
1857,9,-0.49134,0.11939,0.02867,0.08331,0.02880,0.07524,-0.55150,-0.43550
1857,10,-0.44561,0.11843,0.02621,0.09488,0.02472,0.06104,-0.49700,-0.39650
1857,11,-0.57609,0.12322,0.02993,0.08607,0.02549,0.07893,-0.62950,-0.52900
1857,12,-0.45487,0.12712,0.02612,0.08744,0.02586,0.08464,-0.50800,-0.40600
1858,1,-0.58456,0.11605,0.02530,0.08425,0.02671,0.07082,-0.63450,-0.53100
1858,2,-0.47632,0.11751,0.02813,0.08141,0.02938,0.07433,-0.53200,-0.41750
1858,3,-0.44293,0.11644,0.02737,0.08648,0.03049,0.06635,-0.50100,-0.38150
1858,4,-0.74657,0.12659,0.03014,0.09773,0.03171,0.06752,-0.80700,-0.68250
1858,5,-0.72817,0.13224,0.03374,0.10117,0.03373,0.07052,-0.79400,-0.66050
1858,6,-0.56206,0.13239,0.03219,0.09634,0.03406,0.07777,-0.63100,-0.49650
1858,7,-0.22225,0.13286,0.03019,0.08656,0.03469,0.08970,-0.29100,-0.15400
1858,8,-0.05469,0.12588,0.02819,0.09302,0.03099,0.07374,-0.11850,0.00650
1858,9,-0.18767,0.12069,0.03020,0.09672,0.02670,0.05989,-0.24250,-0.13350
1858,10,-0.39833,0.13147,0.03289,0.10660,0.02516,0.06486,-0.45050,-0.34850
1858,11,-0.29462,0.13203,0.03175,0.09008,0.02391,0.08796,-0.34350,-0.24900
1858,12,-0.57798,0.13389,0.03026,0.10436,0.02366,0.07457,-0.62500,-0.53200
1859,1,-0.39160,0.12711,0.02926,0.09335,0.02754,0.07635,-0.44350,-0.33550
1859,2,-0.34361,0.11788,0.03136,0.08686,0.02692,0.06814,-0.39350,-0.28900
1859,3,-0.52340,0.12689,0.03286,0.10057,0.03000,0.06329,-0.57900,-0.46200
1859,4,-0.21122,0.13109,0.03197,0.10915,0.03364,0.05583,-0.27450,-0.14200
1859,5,-0.22404,0.12602,0.03341,0.10191,0.03321,0.05724,-0.28850,-0.15600
1859,6,-0.32157,0.12665,0.03117,0.10621,0.03175,0.05273,-0.38600,-0.26000
1859,7,-0.43107,0.11897,0.03353,0.08400,0.03151,0.07058,-0.49550,-0.36900
1859,8,-0.31815,0.12448,0.02833,0.09531,0.02804,0.06944,-0.37550,-0.26050
1859,9,-0.50956,0.12952,0.03496,0.10539,0.02640,0.06122,-0.56200,-0.45800
1859,10,-0.33917,0.12507,0.03355,0.10057,0.02543,0.06128,-0.39150,-0.28750
1859,11,-0.24764,0.12697,0.03334,0.09862,0.02356,0.06878,-0.29650,-0.20250
1859,12,0.04630,0.11881,0.03338,0.08636,0.02333,0.07071,-0.00100,0.09150
1860,1,-0.04382,0.11579,0.02950,0.08872,0.02643,0.06299,-0.09150,0.01050
1860,2,-0.20689,0.12624,0.03498,0.08974,0.02926,0.07617,-0.25900,-0.14650
1860,3,-0.25806,0.13216,0.03647,0.10346,0.02829,0.06807,-0.30900,-0.19950
1860,4,-0.29958,0.11598,0.03388,0.08773,0.03186,0.05993,-0.35700,-0.23350
1860,5,-0.30872,0.11548,0.03376,0.09508,0.02959,0.04774,-0.36450,-0.24800
1860,6,-0.25573,0.13297,0.03566,0.09150,0.03186,0.08380,-0.32000,-0.18950
1860,7,-0.30364,0.13176,0.03559,0.09391,0.02996,0.07986,-0.36350,-0.23950
1860,8,-0.21695,0.13399,0.03447,0.09021,0.03121,0.08749,-0.27900,-0.15050
1860,9,-0.13396,0.13316,0.03394,0.07898,0.02736,0.09794,-0.18800,-0.08150
1860,10,-0.46493,0.12184,0.03170,0.08453,0.02438,0.07810,-0.51350,-0.41600
1860,11,-0.40035,0.11740,0.03000,0.09119,0.02223,0.06383,-0.44450,-0.35800
1860,12,-0.38803,0.12624,0.03441,0.08028,0.02390,0.08796,-0.43500,-0.34250
1861,1,-0.29702,0.13252,0.03114,0.08694,0.02508,0.09167,-0.34450,-0.24600
1861,2,-0.40474,0.13157,0.02958,0.10079,0.02613,0.07480,-0.45300,-0.35050
1861,3,-0.67170,0.13768,0.03661,0.09591,0.03008,0.08667,-0.72600,-0.60900
1861,4,-0.33759,0.16053,0.04235,0.10435,0.03254,0.10968,-0.39650,-0.26900
1861,5,-0.77830,0.14538,0.04856,0.07258,0.03636,0.11040,-0.84500,-0.70250
1861,6,-0.42045,0.15718,0.03715,0.06895,0.03123,0.13265,-0.48200,-0.35500
1861,7,-0.70263,0.14214,0.03046,0.07201,0.03351,0.11387,-0.76900,-0.63100
1861,8,-0.28726,0.14214,0.03482,0.07927,0.03203,0.10809,-0.35000,-0.22000
1861,9,-0.31082,0.14571,0.03579,0.09400,0.02861,0.10146,-0.36700,-0.25150
1861,10,-0.46821,0.15113,0.03217,0.08222,0.02688,0.11968,-0.52150,-0.41250
1861,11,-0.43614,0.14681,0.03265,0.09028,0.02454,0.10833,-0.48550,-0.38550
1861,12,-0.37758,0.13543,0.03053,0.07972,0.02149,0.10292,-0.42150,-0.33450
1862,1,-0.48155,0.13825,0.03445,0.09217,0.02436,0.09401,-0.52700,-0.43100
1862,2,-0.49861,0.13819,0.03553,0.09286,0.02580,0.09243,-0.54700,-0.44400
1862,3,-0.24226,0.14075,0.03954,0.07446,0.02742,0.10933,-0.29400,-0.18450
1862,4,-0.09592,0.14075,0.03940,0.09940,0.03182,0.08581,-0.15550,-0.02850
1862,5,-0.07996,0.13796,0.03198,0.09351,0.03187,0.09083,-0.14000,-0.01300
1862,6,-0.32169,0.12789,0.03040,0.08734,0.02914,0.08339,-0.37800,-0.26150
1862,7,-0.30792,0.13195,0.03059,0.08241,0.02983,0.09377,-0.36600,-0.24650
1862,8,-0.63756,0.14112,0.02869,0.08481,0.02973,0.10495,-0.69600,-0.57700
1862,9,-0.54850,0.12602,0.03317,0.08639,0.02589,0.08153,-0.59950,-0.49600
